Player,Year,Stars,247_Rating
Brock Berlin,2000,5,0.9998
Jeff Smoker,2000,5,0.9922
Chance Mock,2000,5,0.9918
Casey Clausen,2000,5,0.9896
Jason Campbell,2000,5,0.9853
Chris Rix,2000,5,0.9827
Craig Ochs,2000,4,0.9739
Zac Wasserman,2000,4,0.9707
Andrew Walter,2000,4,0.9671
Brandon Sumner,2000,4,0.9667
Chris Kelley,2000,4,0.9647
John Rattay,2000,4,0.9622
Brodie Croyle,2001,5,0.9986
Joe Mauer,2001,5,0.9928
D.J. Shockley,2001,5,0.9926
Cecil Howard,2001,5,0.992
Derek Anderson,2001,5,0.9827
Adrian McPherson,2001,5,0.9807
Matt Leinart,2001,4,0.9789
Kellen Clemens,2001,4,0.9769
Brent Rawls,2001,4,0.9743
Casey Paus,2001,4,0.9711
Kyle Orton,2001,4,0.9681
Bryan Randall,2001,4,0.9679
Brett Basanez,2001,4,0.9667
Michael Robinson,2001,4,0.9663
Justin Holland,2001,4,0.9631
Ingle Martin,2001,4,0.9618
Nic Costa,2001,4,0.961
David Koral,2001,4,0.9602
Vince Young,2002,5,1
Ben Olson,2002,5,0.998
Marcus Vick,2002,5,0.991
Trent Edwards,2002,5,0.9894
James Banks,2002,5,0.9878
Justin Zwick,2002,5,0.9843
Gavin Dickey,2002,5,0.9821
Anthony Martinez,2002,4,0.9653
Matt Gutierrez,2002,4,0.9637
Tyler Palko,2002,4,0.9408
Lester Ricard,2002,4,0.9367
Isaiah Stanback,2002,4,0.9307
Marc Guillon,2002,4,0.9
Drew Stanton,2002,4,0.9
Joe Tereshinski,2002,4,0.9
Brandon Cox,2002,4,0.9
Troy Smith,2002,4,0.9
Drew Olson,2002,4,0.9
Wyatt Sexton,2002,4,0.9
Matt Moore,2002,4,0.9
Brandon Kirsch,2002,4,0.9
Cedric Washington,2002,4,0.9
Sam Williams,2002,4,0.9
Anthony Johnson,2002,4,0.9
Curt Dukes,2002,3,0.8667
Aryhel Freeman,2002,3,0.8667
Christian Olsen,2002,3,0.8667
Ryan O'Hara,2002,3,0.8667
Josh Harris,2002,3,0.8333
Chris Crumpton,2002,3,0.8333
Jason Whieldon,2002,3,0.8333
Josh Hibbets,2002,3,0.8333
Maurice Avery,2002,3,0.8333
Allen Webb,2002,3,0.8333
Karim El Nokali,2002,3,0.8333
Nick Reid,2002,3,0.8333
Jamie Beeghley,2002,3,0.8333
"James ""Leon"" Pinkney",2002,3,0.8333
Dominique Richmond,2002,3,0.8333
Joel Statham,2002,3,0.8333
Aries Nelson,2002,3,0.8333
Will Proctor,2002,3,0.8333
Billy Don Malone,2002,3,0.8333
Patrick Dosh,2002,3,0.8333
Nick Cannon,2002,3,0.8333
Joseph Ferguson,2002,3,0.8
Kellen Bradley,2002,3,0.8
Chris Pazan,2002,3,0.8
James Cox,2002,3,0.8
Justin Tyler,2002,3,0.8
Kyle Wright,2003,5,0.9984
Chris Leak,2003,5,0.994
Robert Lane,2003,5,0.9876
Tommy Grady,2003,5,0.9819
JaMarcus Russell,2003,5,0.9817
Dennis Dixon,2003,4,0.9757
Brady Quinn,2003,4,0.9422
Justin Midgett,2003,4,0.94
Clayton Richard,2003,4,0.9359
Marcus Stone,2003,4,0.9333
Tommy Zbikowski,2003,4,0.9331
Syvelle Newton,2003,4,0.9319
Kevin McCabe,2003,4,0.9012
T.C. Ostrander,2003,4,0.9
Blake Mitchell,2003,4,0.9
Richard Kovalcheck,2003,4,0.9
Matt Flynn,2003,4,0.9
Michael Affleck,2003,4,0.9
Omarr Conner,2003,4,0.9
Bernard Jackson,2003,3,0.8667
Johnny DuRocher,2003,3,0.8667
James Battle,2003,3,0.8667
Drew Tate,2003,3,0.8667
Sam Keller,2003,3,0.8667
Tyler Donovan,2003,3,0.8667
Phillip Daugherty,2003,3,0.8667
Jeremy Young,2003,3,0.8333
Chris Phillips,2003,3,0.8333
Ricky Joe Meeks,2003,3,0.8333
Kevin Kolb,2003,3,0.8333
Joe Flacco,2003,3,0.8333
Ryan Gunderson,2003,3,0.8333
Patrick Carter,2003,3,0.8333
Brian White,2003,3,0.8333
Ben Mauk,2003,3,0.8333
Eddie Miller,2003,3,0.8333
Pete Martinsen,2003,3,0.8333
Cliff Davis,2003,3,0.8333
Al Pena,2003,3,0.8333
Reggie Ball,2003,3,0.8333
Richard Irvin,2003,3,0.8333
Ryan Mitch,2003,3,0.8333
Nick Cangelosi,2003,3,0.8333
Kelcy Luke,2003,3,0.8333
Dajuan Warren,2003,3,0.8333
Steven Moffett,2003,3,0.8333
Kris Heavner,2003,3,0.8333
Brad Bower,2003,3,0.8333
Zac Champion,2003,3,0.8333
Joe Dailey,2003,3,0.8333
Rhett Bomar,2004,5,0.9982
Xavier Lee,2004,5,0.9964
Anthony Morelli,2004,5,0.9936
Chad Henne,2004,5,0.9924
Matt Tuiasosopo,2004,5,0.989
Bobby Reid,2004,5,0.9845
Brian Brohm,2004,4,0.9783
Stephen McGee,2004,4,0.9743
Drew Weatherford,2004,4,0.9735
Chase Patton,2004,4,0.9727
Nick Patton,2004,4,0.9614
Kirby Freeman,2004,4,0.944
Robbie Reid,2004,4,0.9222
Stephen McGee,2004,4,0.9222
Graham Harrell,2004,4,0.9222
Nathan Longshore,2004,4,0.9
Erik Ainge,2004,4,0.9
Sean Glennon,2004,4,0.9
Blake Barnes,2004,4,0.9
