Drew Brees
Tom Brady
Peyton Manning
Philip Rivers
Ben Roethlisberger
Eli Manning
Aaron Rodgers
Carson Palmer
Matt Ryan
Brett Favre
Tony Romo
Matthew Stafford
Jay Cutler
Donovan McNabb
Joe Flacco
Matt Hasselbeck
Alex Smith
Russell Wilson
Ryan Fitzpatrick
Andy Dalton
Cam Newton
Kurt Warner
Andrew Luck
Jeff Garcia
Kerry Collins
Daunte Culpepper
Trent Green
Jon Kitna
Matt Schaub
Michael Vick
Kirk Cousins
Steve McNair
Aaron Brooks
Jake Delhomme
Marc Bulger
Derek Carr
Ryan Tannehill
Jake Plummer
Brian Griese
Drew Bledsoe
Matt Cassel
Blake Bortles
Sam Bradford
Chad Pennington
Kyle Orton
Mark Brunell
Brad Johnson
Josh McCown
Rich Gannon
David Garrard
Jason Campbell
Mark Sanchez
Jameis Winston
Josh Freeman
Colin Kaepernick
Vinny Testaverde
Carson Wentz
Marcus Mariota
Jay Fiedler
David Carr
Nick Foles
Dak Prescott
Case Keenum
Derek Anderson
Jared Goff
Chad Henne
Byron Leftwich
Gus Frerotte
Rex Grossman
Tyrod Taylor
Tim Couch
Shaun Hill
Brian Hoyer
Blaine Gabbert
Vince Young
Trent Dilfer
Elvis Grbac
Robert Griffin
Tommy Maddox
Jeff Blake
Tarvaris Jackson
Christian Ponder
Kordell Stewart
Charlie Batch
Brock Osweiler
Chris Chandler
