Philip Rivers
Ben Roethlisberger
Eli Manning
Aaron Rodgers
Carson Palmer
Matt Ryan
Tony Romo
Matthew Stafford
Jay Cutler
Joe Flacco
Alex Smith
Russell Wilson
Ryan Fitzpatrick
Andy Dalton
Cam Newton
Donovan McNabb
Andrew Luck
Matt Schaub
Kirk Cousins
Derek Carr
Ryan Tannehill
Matt Cassel
Blake Bortles
Sam Bradford
Kyle Orton
Jason Campbell
Mark Sanchez
Jameis Winston
Josh Freeman
Colin Kaepernick
Carson Wentz
Marcus Mariota
Nick Foles
Dak Prescott
Case Keenum
Derek Anderson
Jared Goff
Chad Henne
Byron Leftwich
Rex Grossman
Tyrod Taylor
Shaun Hill
Brian Hoyer
Blaine Gabbert
Vince Young
Robert Griffin
Tarvaris Jackson
Christian Ponder
Brock Osweiler
